Username,Handle,Timestamp,Comments,Likes,Retweets,Text
"よおへえ-
大→
医卒",@hulaoji55,2021-05-11T14:29:21.000Z,"無知で申し訳ないんですけど、これって、ビリビリ破いて、履きたいんですけど、

それはやっぱ違うんですか?
破いていいなら、めっちゃほしいんですけど．

（当たる前提で話をすすめ続けます）
（めっちゃほしいです）

#nike #SNKRS #AF1  #ビリビリ破りたい",,,
マルコム＋,@malcolm_plus,2021-05-11T14:28:23.000Z,"やっぱりaj1はシカゴカラーがかっこいい！キャンパス地の割にはちょっと高いけど…
でも抽選当たってほしー！
#SNKRS 、#NIKE、 #AJ1Quote Tweet
スニーカーもアパレルも買うならスニダン【スニーカーダンク】
 · 3h
明日発売
大人気""CHICAGO""カラーを纏いキャンバス素材を採用したAJ1 KOが明日9:00〜SNKRSで発売！
 https://snkrdunk.com/articles/9914/?tum_source=twitter&utm_medium=social&utm_campaign=articles…

#NIKE
#ナイキ
#AIRJORDAN1
#エアジョーダン1
#snkrdunk
#スニーカーダンク
#スニダン",,,
tschictique,@tschictique,2021-05-11T14:27:22.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@Doublecat22
 #poshmark #fashion #style #shopmycloset #nike #doublecatboutique #americaneagleoutfitters: https://posh.mk/N56ab7qQagb",,,
Esquire*Attire,@esquireattire,2021-05-11T14:27:16.000Z,https://ebay.to/3fs13F4 #NIKE Windbreaker Men Size L Blue NWT Fully Zipped,,,
Amanda Gaines,@mandelina81,2021-05-11T14:27:00.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #dooneybourke #express #nike: https://posh.mk/L13L1tpQagb",,,
Turd Ferguson,@TurdFer01451021,2021-05-11T14:26:49.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@AprilTh1985
 @Prayloveshop
 @ZeunerTraci
 #poshmark #fashion #style #shopmycloset #kennethcole #nike: https://posh.mk/73lyeEoQagb",,,
alyssa cunniff,@AlyssaC999,2021-05-11T14:26:45.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike #anthropologie #jonesnewyork: https://posh.mk/jbSFPooQagb",,,
My Info,@jaileen86,2021-05-11T14:26:17.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #blanknyc #nike: https://posh.mk/SM0WAkmQagb",,,
Cynthia Sophia,@CynthiaSophia3,2021-05-11T14:26:03.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #oribe #nike: https://posh.mk/Cez3jhlQagb",,,
The$upr3MeClient,@misterlaroux,2021-05-11T14:22:41.000Z,"@Nike
 @nikestore
 picked these up from 
@NikeNYC
 (soho) yesterday. And I’m now opening the box to this horror. I’m so disappointed that you can let all these defects pass thru the factory. Please do better, your prices are already high enough. #nike",2,,
DirtyFckr,@kinksnsneaks,2021-05-11T14:16:34.000Z,"Leg day, happy day #airmax90 #airmax #nike #sneakers #sneakerhead #sneakeraddict #socks #socksfetish",2,5,53
McArena,@McArena18,2021-05-11T14:16:01.000Z,"Me estoy iniciando en esto del running y me acabo de bajar la APP de #Nike.....
Pues ya me siento mejor.",,,1
Retail Gazette,@retailgazette,2021-05-11T14:14:44.000Z,"Xbox and PlayStation to release rival sneakers with Adidas and Nike. https://buff.ly/3eA9m2U

#businessnews #sneakers #nike #adidas #PlayStation #fashionQuote Tweet
Charged Retail
@ChargedRetail
 · 2h
Xbox and PlayStation are set to release rival branded trainers in collaboration with Adidas and Nike, both of which are already seeing demand skyrocket.
#businessnews #sneakers #nike #adidas #PlayStation #fashion

https://buff.ly/3eA9m2U",,,
Laura Trudeau,@dreamdragon13,2021-05-11T14:12:29.000Z,"Replying to 
@Nike#Nike I love your products 
@Nike
 Would you be willing to accept #DogeCoins as payment? #DogeSneaker #NikeDoge Please Just do it #buy #JustDoIt #HODL #dogecoin #DogeCoinFamily #dogearmy #2TheMoon",,1,1
WonderBoy,@LongLiveAnferny,2021-05-11T14:08:04.000Z,"So did the Miami Nights Lebron 8s come out or am I not the only one seeing it #Nike 
@kicksonfire
 @brkicks
 @SBDetroit
 @SoleCollector
 @Nike",,,
dropchronicles,@drop_chronicles,2021-05-11T14:06:59.000Z,#gotem #nike,,,
Cornells Treasures,@CornellsTreasu1,2021-05-11T14:06:27.000Z,"Check out Nike Size 15 Basketball Hyperdunk Elite Duke Blue Devils 324828-411 Shoes 2008 #Nike https://ebay.us/7CRlSj via 
@eBayNike Size 15 Basketball Hyperdunk Elite Duke Blue Devils 324828-411 Shoes 2008
Nike Basketball Hyperdunk TB Elite Duke Blue Devils sz 15 324828-411 Shoes 2008. Condition is Pre-owned.
ebay.com",,3,
bleuatoll_aqua,@bleuatoll,2021-05-11T14:05:27.000Z,"3,000円招待クーポン
　新品・本物鑑定スニーカー
　をお得にゲットしよう
#招待コード【X2XCP9】
#スニダン で3,000円安く買える
業界唯一のダブル本物鑑定だから安心・安全
期間限定
⇒https://snkrdunk.com/lp/invitations/4…

#supreme #dunk #jordan #monokabu
 #nike #招待 #air #force #sb #max3,000円割引！300万人が利用するスニーカーフリマ｜スニーカーダンク
スニーカーダンクはダブル本物鑑定で安心安全のスニーカーフリマ！友達招待でクーポンをゲットしよう！
snkrdunk.com",,,
bleuatoll_aqua,@bleuatoll,2021-05-11T14:04:33.000Z,"＼10%オフ(最大¥4,000)の招待クーポンをゲット
／

新品・本物を
モノカブで安心して手に入れよう
#招待コード:　570bbe
#モノカブ　で使って10%安くなる
今すぐクーポンをゲット
https://monokabu.com/invitations

#supreme #dunk #jordan #monokabu
 #nike #招待 #air #force #sb #max #スニダンモノカブ｜スニーカー・ストリートウェアを安心売買
【国内最大級】モノカブはスニーカー・ストリートウェアを株式のように売買できるサイト。欲しいものを自分の決めた値段で売買！プレ値がついたジョーダン、イージーを適正価格で購入・販売できる、しかも鑑定付き。もう偽物を掴まず安心して売買！
monokabu.com",,,
Shoe Carnival,@ShoeCarnival,2021-05-11T14:02:29.000Z,"Slip-on the Nike Legacy! Breezy canvas 
 Cooling mesh 
 Cushioning insole 
 Iconic style 
 #shoecarnival #nike https://bit.ly/3uFnU6Y",,1,
koji_extreme,@koji_extreme,2021-05-11T14:01:29.000Z,"@monokabu_jp
 さんで購入
土曜日に取引成立して、もう届きました
大満足です
モノカブさん、出品者さんありがとうございました
‥また週末、庭師ダンク買う事になると思うので
宜しくお願�",,,
Jackson Davis,@Jackson87748784,2021-05-11T14:01:22.000Z,"My Custom Nike React Vision
“CREME”
Price Tag: $150
( 
Member Access)
 
Nike By You 
@Jackson87748784
 @nike
 @nikestore
 @nikestore
 #custom #Nike #RETWEEET #RETWEEETME #FolloForFolloBack",,,
GABRIEL J OFLAHERTY CHAN,@_GABRIELOC,2021-05-11T14:00:01.000Z,"DAY 41 
#nike #airmax #cactustrails #travisscott",,,9
Hanae,@hanae_a3s,2021-05-11T13:59:53.000Z,"今日はなんだか寒かった(((( '-' ))))
お疲れ様さまでした◦<(¦3[▓▓]
#過去pic #nike #unitedarrows #swarovski",,,6
DIEGO GOMEZ,@diegomezvill,2021-05-11T13:57:01.000Z,"Fallar, puede que no sea bonito. 
 Pero, probar, fallar y aprender del fallo, es la forma de jugar de nuevo. Y eso siempre es una victoria. 
#nike #playnew #marketing #nuevojuego #branding #aprenderDiego Gomez Villalobos on LinkedIn: #nike #playnew #marketing
Fallar, puede que no sea bonito. 
 Pero, probar, fallar y aprender del fallo, es la forma de jugar de nuevo. Y eso siempre es una victoria. 
linkedin.com",,,
jake smith,@jakesmithy16,2021-05-11T13:56:19.000Z,"@nikestore
 any idea when the romaleos will be back in stock in all colours??? #Nike",,,
XEMを盗まれた出川組,@AVO7777777,2021-05-11T13:53:40.000Z,"3,000円招待クーポンです。
招待コード【HGVPLP】を使うと #スニダン で3,000円安く買えます！よろしくお願いいたします
⇒https://snkrdunk.com/lp/invitations/4…
#NIKE  #jordan #jordan1  #DUNK #クーポン　#スニーカーダンク　#スニダンクーポン　#jordan13,000円割引！300万人が利用するスニーカーフリマ｜スニーカーダンク
スニーカーダンクはダブル本物鑑定で安心安全のスニーカーフリマ！友達招待でクーポンをゲットしよう！
snkrdunk.com",,,
SPORTSHOWROOM,@sportshowroom,2021-05-11T13:47:45.000Z,White #Nike #BlazerNike and SPORTSHOWROOM,,,
Canarinho Milgrau,@Canario1000grau,2021-05-11T13:46:53.000Z,"todos nós sabemos que quem ensinou o Cr7 a finalizar foi o Pablo, certo?
.
.
.
#Futebol #football #CR7 #Pablo #RealMadrid #HalaMadrid #gol #Nike #bola #Gold #Espana #SaoPaulo #FutebolNaESPNCristiano Ronaldo and Pablo",,,
奥村敬人 湘南ベルマーレフットサルクラブ監督,@SBFC_KEITO,2021-05-11T13:45:51.000Z,"ベルマーレカラーのエアリフト

#ナイキ
#NIKE",,1,28
Cousin Mel,@KinFolkIAm,2021-05-11T13:40:56.000Z,"I know this a #shotinthedark but anyone (preferably STL) got any decent beaters for sale
#jordan #airjordan #nike #adidas #yeezy #sneakerhead #pfa",,,
swoosh supply,@swooshsupply,2021-05-11T13:40:00.000Z,"20 minutes on #Nike US.
Air Jordan XXXV Smoke Grey.
—> https://bit.ly/33tiy2Z  #ad",,1,
Supreme君,@supreme_kun,2021-05-11T13:39:21.000Z,"【
速報】

【Nike SB × The Killing Floor】コラボアパレルコレクションが国内5月15日に発売予定

#シュプリーム #2019SS #ファッション #アパレル #コラボ #supreme #nike #stussy #スニーカー #ナイキ
 http://supremekun.com",,,
Supreme君,@supreme_kun,2021-05-11T13:39:21.000Z,"【
速報】

【Nike】Dunk High Retro “Game Royal”が6月11日に発売予定

#シュプリーム #2019SS #ファッション #アパレル #コラボ #supreme #nike #stussy #スニーカー #ナイキ
 http://supremekun.com",,,
Jorgelindo,@lindo_phd,2021-05-11T13:39:00.000Z,"Replying to 
@ActuFoot_
 and 
@Footy_HeadlinesCovid est passé par la... #nike #inter",,,
SC24.com,@sc24dotcom,2021-05-11T13:37:09.000Z," @Nike
 

Running mit Style! 
 Mit dem Nike Air Zoom Pegasus 38 kannst Du bei Deinem nächsten Run alles geben.
  Hol Dir Deinen neuen Runningboot jetzt bei uns im Shop! 
 http://bit.ly/SC24_Nike_Pegasus_38…

#SC24 #Nike #Running #Ausdauertraining",,,2
HamiltonSoftball,@hhshusky_sb,2021-05-11T13:36:55.000Z,"Huskies take on the Mountain Lions. 
.
.
#highschool #hamilton  #hamiltonsoftball #nikeelite #nikeelitehighschool #nike #softball #softballteam @ Hamilton High School https://instagram.com/p/COvA3VAAFWN/?igshid=4moe6sn3egk9…",,,3
Au soleil,@chanifco,2021-05-11T13:36:52.000Z,"On a critiqué #Nike et tous autres fabricants pour l’exploitation de l’#Enfance au travail,
 je n’ai pas entendu de critiques acerbes nationales à l’égard des dealers qui exploitent et dévoient les jeunes ados,
#DupondMoretti, la justice est-elle intransigeante ?",,,
とろろ,@masatoshi39,2021-05-11T13:34:50.000Z,"明日はこれ狙います！
買えますように
#SNKRS 
#NIKE",,,
